latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
34.32089,-118.51084,299.2,0.53,0.42,2025-01-06,1003,N,VIIRS,n,2,282.9,0.77,N,2
34.29387,-118.80373,304.71,0.52,0.41,2025-01-06,1003,N,VIIRS,n,2,283.24,0.94,N,2
34.1531,-118.19032,312.89,0.56,0.43,2025-01-06,1003,N,VIIRS,n,2,284.3,2.09,N,2
34.04209,-117.82087,295.55,0.39,0.44,2025-01-06,1003,N,VIIRS,n,2,280.76,0.29,N,2
33.79601,-117.47566,304.1,0.41,0.45,2025-01-06,1003,N,VIIRS,n,2,273.91,0.54,N,2
33.85241,-118.32965,297.03,0.55,0.43,2025-01-06,1004,N,VIIRS,n,2,285.32,0.88,N,2
33.71487,-117.71106,295.23,0.4,0.44,2025-01-06,1004,N,VIIRS,n,2,280.62,0.42,N,2
33.79537,-118.2331,296.91,0.56,0.43,2025-01-06,1004,N,VIIRS,n,2,285.9,0.88,N,0
33.61567,-117.82365,295.18,0.39,0.44,2025-01-06,1004,N,VIIRS,n,2,281.06,0.21,N,2
32.59997,-117.01216,297.9,0.46,0.47,2025-01-06,1004,N,VIIRS,n,2,280.27,0.64,N,2
32.3969,-116.50459,299.23,0.49,0.49,2025-01-06,1004,N,VIIRS,n,2,279.83,0.99,N,0
32.39365,-116.51099,297.57,0.49,0.49,2025-01-06,1004,N,VIIRS,n,2,281.73,2.35,N,0
32.39249,-116.50576,315.31,0.49,0.49,2025-01-06,1004,N,VIIRS,n,2,279.61,0.99,N,0
32.43494,-117.07802,319.94,0.46,0.47,2025-01-06,1004,N,VIIRS,n,2,282.76,2.42,N,0
32.34645,-116.5139,338.48,0.77,0.77,2025-01-06,1942,N,VIIRS,n,2,296.48,4.83,D,0
32.34847,-116.50913,354.81,0.55,0.51,2025-01-06,2122,N,VIIRS,n,2,304.83,15.68,D,0
32.34478,-116.51053,341.67,0.55,0.51,2025-01-06,2122,N,VIIRS,n,2,302.14,6.82,D,0
32.34948,-116.51146,349.13,0.55,0.51,2025-01-06,2122,N,VIIRS,n,2,302.89,6.82,D,0
36.36594,-121.32518,337.25,0.51,0.41,2025-01-06,2123,N,VIIRS,n,2,293.05,4.68,D,0
36.36531,-121.33095,331.79,0.51,0.41,2025-01-06,2123,N,VIIRS,n,2,292.82,4.68,D,0
36.96638,-121.53628,331.4,0.5,0.41,2025-01-06,2124,N,VIIRS,n,2,291,5.97,D,0
36.96477,-121.53313,295.45,0.44,0.38,2025-01-07,0944,N,VIIRS,n,2,281.56,0.55,N,0
36.71383,-121.76585,296.15,0.45,0.39,2025-01-07,0944,N,VIIRS,n,2,281.14,0.21,N,0
34.43178,-118.64443,301.36,0.38,0.36,2025-01-07,0945,N,VIIRS,n,2,281.89,0.61,N,2
34.42848,-118.64518,300.1,0.38,0.36,2025-01-07,0945,N,VIIRS,n,2,281.89,0.61,N,2
34.33401,-118.51975,315.34,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,280.9,1.27,N,2
34.14194,-117.42822,301.68,0.4,0.37,2025-01-07,0945,N,VIIRS,n,2,281.99,0.72,N,2
34.31881,-118.51034,301.13,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,281.75,0.3,N,2
34.24341,-118.37945,302.44,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,277.89,0.25,N,2
34.29116,-118.8037,305.52,0.38,0.36,2025-01-07,0945,N,VIIRS,n,2,281.39,0.53,N,2
34.48117,-120.13062,296.56,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,283.86,0.12,N,0
34.1545,-118.19272,310.57,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,279.82,1.19,N,2
33.97132,-117.5015,325.9,0.4,0.37,2025-01-07,0945,N,VIIRS,n,2,276.32,3.81,N,0
33.87743,-116.99854,298.15,0.41,0.37,2025-01-07,0945,N,VIIRS,n,2,277.32,0.54,N,2
34.03498,-118.10603,298.98,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,280.27,0.6,N,2
33.81967,-118.24487,295.67,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,285.11,0.77,N,2
33.81498,-118.23731,300.37,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,286.33,1.18,N,2
33.71608,-117.71094,307.45,0.4,0.37,2025-01-07,0945,N,VIIRS,n,2,280.72,0.97,N,2
33.71445,-117.71039,304.37,0.4,0.37,2025-01-07,0945,N,VIIRS,n,2,279.78,0.96,N,2
33.77804,-118.23656,299.55,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,287.4,0.8,N,2
33.79323,-118.34985,300.3,0.39,0.36,2025-01-07,0945,N,VIIRS,n,2,280.56,0.4,N,2
33.61391,-117.82073,311.08,0.39,0.37,2025-01-07,0945,N,VIIRS,n,2,281.09,1.03,N,2
33.49225,-117.61631,303.51,0.4,0.37,2025-01-07,0945,N,VIIRS,n,2,279.27,0.67,N,2
32.85764,-117.02793,305.69,0.42,0.37,2025-01-07,0945,N,VIIRS,n,2,278.58,1.11,N,2
32.8575,-117.14697,299.74,0.41,0.37,2025-01-07,0945,N,VIIRS,n,2,275.86,0.66,N,2
34.04246,-118.54796,337.5,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,291.54,3.41,D,0
34.04187,-118.55233,332.6,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,292.18,3.41,D,0
34.04127,-118.55679,352.95,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,305.98,16.89,D,0
34.04068,-118.56118,341.63,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,292.09,16.89,D,0
34.04467,-118.55751,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,360.85,225.88,D,0
34.04586,-118.54868,350.46,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,303.35,94.8,D,0
34.04408,-118.5619,341.35,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,300.01,225.88,D,0
34.04866,-118.55385,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,342.85,94.8,D,0
34.04805,-118.55833,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,357.73,225.88,D,0
34.04745,-118.56273,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,355.18,225.88,D,0
34.05165,-118.53169,335.4,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.98,5.11,D,0
34.05106,-118.53614,351.6,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,294.26,5.11,D,0
34.05046,-118.54057,340.03,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,291.53,5.33,D,0
34.04926,-118.54942,347.91,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,314.8,94.8,D,0
34.05506,-118.53242,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,349.91,0,D,0
34.05445,-118.53688,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,329.25,0,D,0
34.05266,-118.55016,367,0.41,0.37,2025-01-07,2104,N,VIIRS,h,2,338.83,129.53,D,0
34.05386,-118.54131,352.18,0.41,0.37,2025-01-07,2104,N,VIIRS,n,2,300.93,23.92,D,0
